params,true_negative,true_positive,false_positive,false_negative
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 7}",7,327,19,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 8}",7,323,19,43
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 9}",9,322,17,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 7}",7,327,19,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 8}",7,323,19,43
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 9}",9,322,17,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 100}",17,235,9,131
